fips,state,county,population,total cases,total deaths,hospital beds,hospital beds usage,hospital beds covid,hospital icu beds,hospital icu beds usage,hospital icu beds covid,vaccination initiated,vaccination completed,vaccination initiated ratio,vaccination completed ratio,vaccination addl dose,vaccination addl dose ratio,vaccination booster,vaccination booster ratio
2013,AK,Aleutians East Borough,3337,812,0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,2498.0,0.869,0.749,1038.0,0.311,199.0,0.06
2016,AK,Aleutians West Census Area,5634,1174,0,0.0,0.0,0.0,0.0,0.0,0.0,4410.0,3637.0,0.783,0.646,1425.0,0.253,500.0,0.089
2020,AK,Anchorage Municipality,288000,121792,284,559.0,486.0,12.0,60.0,42.0,1.0,230587.0,205043.0,0.801,0.712,103924.0,0.361,47001.0,0.163
2050,AK,Bethel Census Area,18386,13328,0,0.0,0.0,0.0,0.0,0.0,0.0,13690.0,12693.0,0.745,0.69,6688.0,0.364,1806.0,0.098
2060,AK,Bristol Bay Borough,836,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068,AK,Denali Borough,2097,488,0,0.0,0.0,0.0,0.0,0.0,0.0,1383.0,1167.0,0.66,0.557,629.0,0.3,345.0,0.165
2070,AK,Dillingham Census Area,4916,2265,0,0.0,0.0,0.0,0.0,0.0,0.0,2930.0,2636.0,0.596,0.536,1320.0,0.269,500.0,0.102
2090,AK,Fairbanks North Star Borough,96849,32476,38,101.0,74.0,5.0,13.0,8.0,1.0,69308.0,62227.0,0.716,0.643,26134.0,0.27,11894.0,0.123
2100,AK,Haines Borough,2530,804,0,0.0,0.0,0.0,0.0,0.0,0.0,1963.0,1817.0,0.776,0.718,1116.0,0.441,546.0,0.216
2105,AK,Hoonah-Angoon Census Area,2148,947,0,0.0,0.0,0.0,0.0,0.0,0.0,1661.0,1551.0,0.773,0.722,1059.0,0.493,497.0,0.231
2110,AK,Juneau City and Borough,31974,11449,0,57.0,38.0,0.0,9.0,4.0,0.0,28043.0,25588.0,0.877,0.8,15477.0,0.484,8043.0,0.252
2122,AK,Kenai Peninsula Borough,58708,21449,12,82.0,56.0,3.0,11.0,6.0,1.0,32825.0,29482.0,0.559,0.502,15491.0,0.264,7303.0,0.124
2130,AK,Ketchikan Gateway Borough,13901,5009,0,7.0,7.0,2.0,2.0,2.0,0.0,10351.0,9403.0,0.745,0.676,4846.0,0.349,2109.0,0.152
2150,AK,Kodiak Island Borough,12998,5719,0,25.0,11.0,0.0,1.0,0.0,0.0,9734.0,8737.0,0.749,0.672,4603.0,0.354,1702.0,0.131
2158,AK,Kusilvak Census Area,8314,5029,0,0.0,0.0,0.0,0.0,0.0,0.0,6215.0,5754.0,0.748,0.692,2792.0,0.336,703.0,0.085
2164,AK,Lake and Peninsula Borough,1592,951,0,0.0,0.0,0.0,0.0,0.0,0.0,1060.0,974.0,0.666,0.612,608.0,0.382,228.0,0.143
2170,AK,Matanuska-Susitna Borough,108317,40467,124,160.0,98.0,1.0,14.0,6.0,0.0,52310.0,46121.0,0.483,0.426,20333.0,0.188,8857.0,0.082
2180,AK,Nome Census Area,10004,7647,0,0.0,0.0,0.0,0.0,0.0,0.0,7613.0,7184.0,0.761,0.718,3999.0,0.4,1159.0,0.116
2185,AK,North Slope Borough,9832,4978,0,0.0,0.0,0.0,0.0,0.0,0.0,4294.0,3971.0,0.437,0.404,1970.0,0.2,585.0,0.059
2188,AK,Northwest Arctic Borough,7621,5873,0,0.0,0.0,0.0,0.0,0.0,0.0,5194.0,4816.0,0.682,0.632,2821.0,0.37,703.0,0.092
2195,AK,Petersburg Borough,3266,900,0,12.0,1.0,0.0,0.0,0.0,0.0,2798.0,2572.0,0.857,0.788,1480.0,0.453,785.0,0.24
2198,AK,Prince of Wales-Hyder Census Area,6203,1838,0,0.0,0.0,0.0,0.0,0.0,0.0,3740.0,3396.0,0.603,0.547,1910.0,0.308,726.0,0.117
2220,AK,Sitka City and Borough,8493,3385,0,0.0,0.0,0.0,0.0,0.0,0.0,7476.0,6922.0,0.88,0.815,4341.0,0.511,2030.0,0.239
2230,AK,Skagway Municipality,1183,255,0,0.0,0.0,0.0,0.0,0.0,0.0,979.0,884.0,0.828,0.747,509.0,0.43,242.0,0.205
2240,AK,Southeast Fairbanks Census Area,6893,2326,0,0.0,0.0,0.0,0.0,0.0,0.0,3292.0,2968.0,0.478,0.431,1257.0,0.182,465.0,0.067
2261,AK,Valdez-Cordova Census Area,9202,3450,0,14.0,5.0,0.0,0.0,0.0,0.0,6495.0,5969.0,0.706,0.649,3021.0,0.328,1402.0,0.152
2275,AK,Wrangell City and Borough,2502,795,0,0.0,0.0,0.0,0.0,0.0,0.0,1601.0,1523.0,0.64,0.609,935.0,0.374,331.0,0.132
2282,AK,Yakutat City and Borough,579,0,0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,462.0,0.834,0.798,271.0,0.468,110.0,0.19
2290,AK,Yukon-Koyukuk Census Area,5230,1801,0,0.0,0.0,0.0,0.0,0.0,0.0,4516.0,4158.0,0.863,0.795,2520.0,0.482,987.0,0.189
1001,AL,Autauga County,55869,19905,40,90.0,67.0,3.0,6.0,3.0,1.0,32414.0,25756.0,0.58,0.461,9790.0,0.175,3657.0,0.065
1003,AL,Baldwin County,223234,70476,446,375.0,288.0,5.0,32.0,26.0,0.0,149596.0,119284.0,0.67,0.534,47583.0,0.213,19133.0,0.086
1005,AL,Barbour County,24686,7579,19,24.0,18.0,2.0,5.0,2.0,0.0,14256.0,11703.0,0.577,0.474,4380.0,0.177,1074.0,0.044
1007,AL,Bibb County,22394,8145,21,29.0,11.0,3.0,0.0,0.0,0.0,9825.0,8178.0,0.439,0.365,3460.0,0.155,1297.0,0.058
1009,AL,Blount County,57826,18856,46,33.0,12.0,0.0,6.0,2.0,0.0,22914.0,19005.0,0.396,0.329,7029.0,0.122,2285.0,0.04
1011,AL,Bullock County,10101,3056,0,38.0,29.0,0.0,0.0,0.0,0.0,7291.0,5736.0,0.722,0.568,2355.0,0.233,631.0,0.062
1013,AL,Butler County,19448,6615,21,26.0,16.0,0.0,7.0,3.0,0.0,9995.0,7968.0,0.514,0.41,3062.0,0.157,1048.0,0.054
1015,AL,Calhoun County,113605,41912,358,221.0,193.0,5.0,19.0,18.0,1.0,67165.0,55615.0,0.591,0.49,22007.0,0.194,7679.0,0.068
1017,AL,Chambers County,33254,10928,0,38.0,29.0,2.0,0.0,0.0,0.0,13099.0,11025.0,0.394,0.332,4519.0,0.136,1436.0,0.043
