fips,County,State,Alpha code,Population 18-24,Bachelors 18-24,Population Over 25,Bachelors Over 25,population,total cases,total deaths,hospital beds,hospital beds usage,hospital beds covid,hospital icu beds,hospital icu beds usage,hospital icu beds covid,vaccination initiated,vaccination completed,vaccination initiated ratio,vaccination completed ratio,vaccination addl dose,vaccination addl dose ratio,vaccination booster,vaccination booster ratio
1003,Baldwin County,Alabama,AL,16407,1620,178759,59850,223234,70476,446,375.0,288.0,5.0,32.0,26.0,0.0,149596.0,119284.0,0.67,0.534,47583.0,0.213,19133.0,0.086
1015,Calhoun County,Alabama,AL,12900,985,78478,16568,113605,41912,358,221.0,193.0,5.0,19.0,18.0,1.0,67165.0,55615.0,0.591,0.49,22007.0,0.194,7679.0,0.068
1043,Cullman County,Alabama,AL,7022,112,63473,12787,83768,31702,150,164.0,117.0,9.0,12.0,7.0,1.0,38911.0,32943.0,0.465,0.393,13129.0,0.157,4396.0,0.052
1049,DeKalb County,Alabama,AL,6580,429,48375,6597,71513,22651,104,58.0,29.0,0.0,5.0,3.0,1.0,30901.0,25210.0,0.432,0.353,9896.0,0.138,3166.0,0.044
1051,Elmore County,Alabama,AL,6731,123,63862,14345,81209,30060,98,73.0,17.0,1.0,0.0,2.0,0.0,48321.0,39299.0,0.595,0.484,14703.0,0.181,5098.0,0.063
1055,Etowah County,Alabama,AL,8039,349,73017,12325,102268,34385,412,362.0,279.0,3.0,64.0,48.0,1.0,52018.0,43441.0,0.509,0.425,17554.0,0.172,5820.0,0.057
1069,Houston County,Alabama,AL,8836,662,74857,18200,105882,32928,247,601.0,541.0,13.0,62.0,59.0,1.0,56463.0,47400.0,0.533,0.448,18048.0,0.17,5836.0,0.055
1073,Jefferson County,Alabama,AL,63769,8290,451876,169896,658573,240540,2196,3366.0,2961.0,64.0,503.0,466.0,20.0,495572.0,404392.0,0.752,0.614,175985.0,0.267,72213.0,0.11
1077,Lauderdale County,Alabama,AL,11139,668,65935,16724,92729,30722,171,277.0,232.0,7.0,40.0,27.0,1.0,55177.0,44954.0,0.595,0.485,18621.0,0.201,6758.0,0.073
1081,Lee County,Alabama,AL,32818,3524,110729,46888,164542,48043,89,277.0,231.0,9.0,24.0,20.0,0.0,82868.0,69440.0,0.504,0.422,28752.0,0.175,10679.0,0.065
1083,Limestone County,Alabama,AL,7642,856,78806,26820,98915,32455,53,131.0,67.0,4.0,10.0,7.0,1.0,47847.0,39970.0,0.484,0.404,14984.0,0.151,5281.0,0.053
1089,Madison County,Alabama,AL,40386,6900,277522,129594,372909,117190,738,467.0,348.0,12.0,35.0,31.0,1.0,299395.0,244651.0,0.803,0.656,104250.0,0.28,44367.0,0.119
1095,Marshall County,Alabama,AL,8537,247,65546,13334,96774,33213,142,160.0,109.0,3.0,18.0,13.0,0.0,55689.0,45940.0,0.575,0.475,17366.0,0.179,5467.0,0.056
1097,Mobile County,Alabama,AL,36722,2589,279710,70944,413210,135734,1440,1521.0,1286.0,37.0,172.0,142.0,5.0,261439.0,215716.0,0.633,0.522,84779.0,0.205,29479.0,0.071
1101,Montgomery County,Alabama,AL,21995,2000,150841,54929,226486,74552,628,893.0,608.0,21.0,42.0,38.0,0.0,156403.0,124566.0,0.691,0.55,51239.0,0.226,20719.0,0.091
1103,Morgan County,Alabama,AL,10736,588,85237,21259,119679,46913,282,258.0,163.0,6.0,19.0,12.0,1.0,63450.0,53883.0,0.53,0.45,22551.0,0.188,7882.0,0.066
1115,St. Clair County,Alabama,AL,6975,239,66167,12889,89512,33571,194,44.0,40.0,2.0,6.0,5.0,0.0,43095.0,36266.0,0.481,0.405,14485.0,0.162,4988.0,0.056
1117,Shelby County,Alabama,AL,20813,3444,158255,78625,217702,78734,169,169.0,102.0,1.0,38.0,27.0,0.0,101372.0,82345.0,0.466,0.378,32060.0,0.147,11838.0,0.054
1121,Talladega County,Alabama,AL,5825,189,58428,10029,79978,28804,150,121.0,76.0,3.0,16.0,10.0,1.0,36621.0,30250.0,0.458,0.378,12386.0,0.155,4216.0,0.053
1125,Tuscaloosa County,Alabama,AL,46324,4668,142968,48496,209355,71985,488,581.0,472.0,18.0,58.0,54.0,4.0,114961.0,95238.0,0.549,0.455,37873.0,0.181,14443.0,0.069
2020,Anchorage Municipality,Alaska,AK,26963,1633,192673,73048,288000,121792,284,559.0,486.0,12.0,60.0,42.0,1.0,230587.0,205043.0,0.801,0.712,103924.0,0.361,47001.0,0.163
2090,Fairbanks North Star Borough,Alaska,AK,11823,2206,61880,17665,96849,32476,38,101.0,74.0,5.0,13.0,8.0,1.0,69308.0,62227.0,0.716,0.643,26134.0,0.27,11894.0,0.123
2170,Matanuska-Susitna Borough,Alaska,AK,9222,264,75001,16341,108317,40467,124,160.0,98.0,1.0,14.0,6.0,0.0,52310.0,46121.0,0.483,0.426,20333.0,0.188,8857.0,0.082
4001,Apache County,Arizona,AZ,6592,62,41879,5864,71887,37743,273,25.0,7.0,0.0,0.0,0.0,0.0,96506.0,80342.0,0.95,0.95,44416.0,0.618,19157.0,0.266
4003,Cochise County,Arizona,AZ,10485,849,89088,24641,125922,39527,346,133.0,54.0,0.0,20.0,12.0,1.0,109753.0,90203.0,0.872,0.716,43472.0,0.345,19574.0,0.155
4005,Coconino County,Arizona,AZ,28401,1483,87800,36996,143476,53657,161,209.0,186.0,1.0,32.0,29.0,0.0,137911.0,119393.0,0.95,0.832,64648.0,0.451,30041.0,0.209
4013,Maricopa County,Arizona,AZ,435793,59367,3096494,1118210,4485414,1544273,18966,9279.0,7409.0,127.0,1002.0,716.0,16.0,3178476.0,2768176.0,0.709,0.617,1361454.0,0.304,614559.0,0.137
4015,Mohave County,Arizona,AZ,12940,659,172565,26099,212181,67974,1255,482.0,127.0,12.0,67.0,37.0,2.0,112950.0,95220.0,0.532,0.449,44057.0,0.208,20050.0,0.094
4017,Navajo County,Arizona,AZ,8984,361,72384,14133,110924,49227,643,140.0,66.0,4.0,12.0,6.0,1.0,114559.0,95454.0,0.95,0.861,53309.0,0.481,30969.0,0.279
4019,Pima County,Arizona,AZ,129268,11488,721417,267349,1047279,322818,4074,1809.0,1414.0,13.0,216.0,104.0,1.0,958601.0,788542.0,0.915,0.753,436103.0,0.416,245230.0,0.234
4021,Pinal County,Arizona,AZ,37577,2303,325679,74641,462789,158458,1479,294.0,142.0,4.0,40.0,15.0,1.0,307256.0,269175.0,0.664,0.582,121256.0,0.262,52673.0,0.114
4025,Yavapai County,Arizona,AZ,15903,892,193188,55996,235099,61041,1074,226.0,211.0,4.0,29.0,27.0,1.0,141096.0,122153.0,0.6,0.52,64770.0,0.276,34861.0,0.148
4027,Yuma County,Arizona,AZ,20549,776,135602,22554,213787,72006,938,230.0,230.0,4.0,42.0,10.0,0.0,250626.0,164466.0,0.95,0.769,75126.0,0.351,40128.0,0.188
5007,Benton County,Arkansas,AR,24780,3238,201794,77673,279141,80658,571,278.0,245.0,11.0,51.0,42.0,2.0,198001.0,162246.0,0.709,0.581,73555.0,0.264,36938.0,0.132
5031,Craighead County,Arkansas,AR,12587,2236,72269,18605,110332,47766,135,459.0,411.0,26.0,55.0,48.0,2.0,64591.0,54769.0,0.585,0.496,24262.0,0.22,9023.0,0.082
5045,Faulkner County,Arkansas,AR,19260,2083,80027,23639,126007,43795,79,238.0,172.0,7.0,34.0,31.0,2.0,78923.0,67450.0,0.626,0.535,30576.0,0.243,12582.0,0.1
5051,Garland County,Arkansas,AR,7543,267,73159,18961,99386,27847,248,441.0,361.0,16.0,35.0,31.0,2.0,57095.0,48038.0,0.574,0.483,22731.0,0.229,12124.0,0.122
5069,Jefferson County,Arkansas,AR,6440,655,44084,9498,66824,22436,52,226.0,125.0,6.0,18.0,8.0,1.0,41577.0,32750.0,0.622,0.49,13515.0,0.202,5949.0,0.089
5085,Lonoke County,Arkansas,AR,6009,90,51112,10804,73309,24207,18,0.0,0.0,0.0,0.0,0.0,0.0,43265.0,36733.0,0.59,0.501,15494.0,0.211,6961.0,0.095
5119,Pulaski County,Arkansas,AR,36125,5246,271548,102310,391911,129506,924,2236.0,1828.0,46.0,324.0,268.0,9.0,295049.0,247862.0,0.753,0.632,128053.0,0.327,65615.0,0.167
5125,Saline County,Arkansas,AR,10239,621,87929,24428,122437,38998,72,210.0,85.0,1.0,25.0,12.0,2.0,78150.0,66946.0,0.638,0.547,31213.0,0.255,14305.0,0.117
5131,Sebastian County,Arkansas,AR,11330,1665,87277,18159,127827,40222,199,509.0,459.0,12.0,69.0,51.0,2.0,82169.0,67872.0,0.643,0.531,28722.0,0.225,12434.0,0.097
5143,Washington County,Arkansas,AR,39730,4450,157157,55549,239187,82004,306,443.0,358.0,5.0,58.0,37.0,2.0,175053.0,144928.0,0.732,0.606,66081.0,0.276,34482.0,0.144
5145,White County,Arkansas,AR,8887,608,50973,10681,78753,27809,23,200.0,175.0,6.0,30.0,24.0,1.0,42532.0,36121.0,0.54,0.459,14760.0,0.187,6080.0,0.077
6001,Alameda County,California,CA,131529,23438,1179725,630799,1671329,408478,1833,2618.0,1663.0,81.0,247.0,137.0,5.0,1539534.0,1414463.0,0.921,0.846,1018420.0,0.609,0.0,0.0
6007,Butte County,California,CA,30393,2166,135390,46747,219186,52479,119,422.0,371.0,13.0,38.0,22.0,1.0,130560.0,119178.0,0.596,0.544,70975.0,0.324,0.0,0.0
6013,Contra Costa County,California,CA,94568,11236,811661,366230,1153526,299517,1138,1274.0,995.0,47.0,144.0,110.0,5.0,1045276.0,977904.0,0.906,0.848,672783.0,0.583,0.0,0.0
6017,El Dorado County,California,CA,11341,1018,144290,55466,192843,39570,57,102.0,60.0,2.0,16.0,5.0,1.0,132316.0,120287.0,0.686,0.624,74851.0,0.388,0.0,0.0
6019,Fresno County,California,CA,101151,8526,633325,153012,999101,332922,2664,1748.0,1644.0,83.0,162.0,136.0,7.0,698830.0,630682.0,0.699,0.631,332959.0,0.333,0.0,0.0
6023,Humboldt County,California,CA,15609,800,95294,31044,135558,29502,39,173.0,129.0,6.0,16.0,13.0,0.0,101670.0,92530.0,0.75,0.683,59508.0,0.439,0.0,0.0
6025,Imperial County,California,CA,17440,1035,111134,18617,181215,91128,712,261.0,118.0,4.0,16.0,9.0,1.0,273142.0,181580.0,0.95,0.95,84039.0,0.464,0.0,0.0
6029,Kern County,California,CA,93740,6060,562332,107077,900202,306594,2179,922.0,818.0,25.0,108.0,92.0,3.0,555059.0,496652.0,0.617,0.552,240737.0,0.267,0.0,0.0
6031,Kings County,California,CA,16666,612,95511,15220,152940,67766,201,121.0,106.0,7.0,14.0,10.0,1.0,81095.0,71338.0,0.53,0.466,33833.0,0.221,0.0,0.0
6033,Lake County,California,CA,4196,823,49755,9264,64386,15049,11,53.0,36.0,3.0,8.0,7.0,1.0,40726.0,36181.0,0.633,0.562,20111.0,0.312,0.0,0.0
6037,Los Angeles County,California,CA,891553,131309,6845803,2440180,10039107,3742340,35979,17799.0,13645.0,574.0,1897.0,1313.0,58.0,8423777.0,7558535.0,0.839,0.753,4559722.0,0.454,0.0,0.0
6039,Madera County,California,CA,15848,1305,100864,21573,157327,55716,194,106.0,3.0,2.0,10.0,5.0,1.0,98593.0,88415.0,0.627,0.562,44415.0,0.282,0.0,0.0
6041,Marin County,California,CA,15718,2767,191896,120127,258826,55715,113,429.0,309.0,12.0,22.0,19.0,0.0,254050.0,233837.0,0.95,0.903,177301.0,0.685,0.0,0.0
