fips,county,total poverty percentage,population,total cases,vaccination completed,vaccination completed ratio
51107,Loudoun,3.6,413538,98652,330884.0,0.8
51610,Falls Church,4.0,14617,3543,11828.0,0.809
51127,New Kent,4.9,23091,6015,15063.0,0.652
51199,York,5.1,68280,14008,58642.0,0.859
51179,Stafford,5.4,152882,42534,102448.0,0.67
51735,Poquoson,5.4,12271,2997,8326.0,0.679
51145,Powhatan,6.0,29652,6417,17456.0,0.589
51075,Goochland,6.3,23753,5837,18456.0,0.777
51153,Prince William,6.4,470335,128929,377001.0,0.802
51061,Fauquier,6.5,71222,16728,54243.0,0.762
51099,King George,6.5,26836,6972,17822.0,0.664
51085,Hanover,6.7,107766,29306,78448.0,0.728
51003,Albemarle,7.0,109330,25650,91256.0,0.835
51023,Botetourt,7.0,33419,10066,21510.0,0.644
51087,Henrico,7.0,330818,93267,242209.0,0.732
51095,James City,7.0,76523,21471,62390.0,0.815
51059,Fairfax,7.1,1147532,263441,961987.0,0.838
51101,King William,7.1,17148,4755,10330.0,0.602
51043,Clarke,7.2,14619,3549,10005.0,0.684
51177,Spotsylvania,7.2,136215,35622,84297.0,0.619
51600,Fairfax,7.3,24019,2788,24061.0,0.95
51685,Manassas Park,7.3,17478,4928,0.0,0.0
51041,Chesterfield,7.4,352802,100827,256916.0,0.728
51069,Frederick,7.5,89313,26954,54522.0,0.61
51065,Fluvanna,7.7,27270,6946,19500.0,0.715
51079,Greene,7.8,19819,5119,13477.0,0.68
51013,Arlington,7.9,236842,67171,217152.0,0.917
51161,Roanoke,8.1,94186,28556,66528.0,0.706
51093,Isle of Wight,8.2,37109,9299,27407.0,0.739
51165,Rockingham,8.3,81948,19329,46702.0,0.57
51550,Chesapeake,8.3,244835,64851,193318.0,0.79
51073,Gloucester,8.4,37348,9721,25373.0,0.679
51015,Augusta,8.5,75558,24715,45069.0,0.596
51683,Manassas,8.6,41085,11984,0.0,0.0
51019,Bedford,8.8,78997,22365,43987.0,0.557
51047,Culpeper,8.9,52605,14523,34874.0,0.663
51137,Orange,8.9,37051,9276,22772.0,0.615
51115,Mathews,9.1,8834,2081,5912.0,0.669
51157,Rappahannock,9.1,7370,1388,4634.0,0.629
51187,Warren,9.2,40164,11563,21063.0,0.524
51113,Madison,9.4,13261,3197,8024.0,0.605
51570,Colonial Heights,9.4,17370,6379,10301.0,0.593
51810,Virginia Beach,9.4,449974,116549,357281.0,0.794
51171,Shenandoah,9.8,43616,14178,25021.0,0.574
51007,Amelia,9.9,13145,3616,7099.0,0.54
51510,Alexandria,9.9,159428,45859,127536.0,0.8
51109,Louisa,10.0,37591,8986,22574.0,0.601
51163,Rockbridge,10.2,22573,5251,13737.0,0.609
51149,Prince George,10.4,38353,11668,33735.0,0.88
51775,Salem,10.5,25301,7381,18253.0,0.721
