County,Population 18-24,Bachelors 18-24,Population Over 25,Bachelors Over 25
"Baldwin County, Alabama",16407,1620,178759,59850
"Calhoun County, Alabama",12900,985,78478,16568
"Cullman County, Alabama",7022,112,63473,12787
"DeKalb County, Alabama",6580,429,48375,6597
"Elmore County, Alabama",6731,123,63862,14345
"Etowah County, Alabama",8039,349,73017,12325
"Houston County, Alabama",8836,662,74857,18200
"Jefferson County, Alabama",63769,8290,451876,169896
"Lauderdale County, Alabama",11139,668,65935,16724
"Lee County, Alabama",32818,3524,110729,46888
"Limestone County, Alabama",7642,856,78806,26820
"Madison County, Alabama",40386,6900,277522,129594
"Marshall County, Alabama",8537,247,65546,13334
"Mobile County, Alabama",36722,2589,279710,70944
"Montgomery County, Alabama",21995,2000,150841,54929
"Morgan County, Alabama",10736,588,85237,21259
"St. Clair County, Alabama",6975,239,66167,12889
"Shelby County, Alabama",20813,3444,158255,78625
"Talladega County, Alabama",5825,189,58428,10029
"Tuscaloosa County, Alabama",46324,4668,142968,48496
"Anchorage Municipality, Alaska",26963,1633,192673,73048
"Fairbanks North Star Borough, Alaska",11823,2206,61880,17665
"Matanuska-Susitna Borough, Alaska",9222,264,75001,16341
"Apache County, Arizona",6592,62,41879,5864
"Cochise County, Arizona",10485,849,89088,24641
"Coconino County, Arizona",28401,1483,87800,36996
"Maricopa County, Arizona",435793,59367,3096494,1118210
"Mohave County, Arizona",12940,659,172565,26099
"Navajo County, Arizona",8984,361,72384,14133
"Pima County, Arizona",129268,11488,721417,267349
"Pinal County, Arizona",37577,2303,325679,74641
"Yavapai County, Arizona",15903,892,193188,55996
"Yuma County, Arizona",20549,776,135602,22554
"Benton County, Arkansas",24780,3238,201794,77673
"Craighead County, Arkansas",12587,2236,72269,18605
"Faulkner County, Arkansas",19260,2083,80027,23639
"Garland County, Arkansas",7543,267,73159,18961
"Jefferson County, Arkansas",6440,655,44084,9498
"Lonoke County, Arkansas",6009,90,51112,10804
"Pulaski County, Arkansas",36125,5246,271548,102310
"Saline County, Arkansas",10239,621,87929,24428
"Sebastian County, Arkansas",11330,1665,87277,18159
"Washington County, Arkansas",39730,4450,157157,55549
"White County, Arkansas",8887,608,50973,10681
"Alameda County, California",131529,23438,1179725,630799
"Butte County, California",30393,2166,135390,46747
"Contra Costa County, California",94568,11236,811661,366230
"El Dorado County, California",11341,1018,144290,55466
"Fresno County, California",101151,8526,633325,153012
"Humboldt County, California",15609,800,95294,31044
"Imperial County, California",17440,1035,111134,18617
"Kern County, California",93740,6060,562332,107077
"Kings County, California",16666,612,95511,15220
"Lake County, California",4196,823,49755,9264
"Los Angeles County, California",891553,131309,6845803,2440180
"Madera County, California",15848,1305,100864,21573
"Marin County, California",15718,2767,191896,120127
"Mendocino County, California",5685,827,65421,16164
"Merced County, California",32578,1761,174432,28290
"Monterey County, California",44009,4669,278754,76760
"Napa County, California",11917,707,96760,38618
"Nevada County, California",5330,143,79647,31286
"Orange County, California",292553,45052,2204111,964122
"Placer County, California",31028,3043,296525,123392
"Riverside County, California",240281,20720,1640068,409850
"Sacramento County, California",135467,15537,1089547,368064
"San Benito County, California",6411,231,44072,11855
"San Bernardino County, California",223864,18871,1412051,324956
"San Diego County, California",328457,40355,2268126,975935
"San Francisco County, California",53657,21731,644349,395589
"San Joaquin County, California",76656,5522,509375,116879
"San Luis Obispo County, California",43571,3096,190875,78677
"San Mateo County, California",52325,10778,536358,290134
"Santa Barbara County, California",67823,5625,278594,103392
"Santa Clara County, California",166815,35577,1326338,752387
"Santa Cruz County, California",38247,3940,178131,76707
"Shasta County, California",13744,729,128563,30566
"Solano County, California",38896,1742,312815,89226
"Sonoma County, California",39122,4979,353683,135480
"Stanislaus County, California",53441,2145,351940,66212
"Sutter County, California",9242,538,65284,14322
